Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,DNK,"Population, male",SP.POP.TOTL.MA.IN,2272194,2287680,2305033,2322788,2341215,2359708,2379367,2399200,2414931,2429109,2447640,2464271,2477407,2491013,2501038,2506649,2511383,2517649,2523940,2528640,2530266,2528154,2525009,2522167,2519996,2520502,2523723,2527114,2528795,2530923,2535725,2543044,2552242,2561570,2571086,2585390,2600969,2612718,2623106,2632607,2642115,2652166,2661119,2668794,2676194,2684203,2693799,2706654,2723598,2739325,2752727,2765430,2777284,2790261,2805574,2826216,2848688,2867015,2880932,2892878,
Dominican Republic,DOM,"Population, male",SP.POP.TOTL.MA.IN,1667974,1724265,1781857,1840614,1900350,1960912,2022225,2084197,2146762,2209839,2273362,2337258,2401458,2466000,2530897,2596181,2661833,2727793,2793959,2860178,2926350,2992440,3058448,3124435,3190481,3256633,3322845,3389103,3455505,3522212,3589320,3656937,3724969,3792911,3860135,3926196,3990770,4054055,4116809,4180100,4244649,4310796,4378119,4445599,4511784,4575664,4636862,4695749,4752944,4809439,4865926,4922521,4979007,5035366,5091524,5147370,5202943,5258184,5312754,5366198,
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,5558041,5695857,5835478,5979684,6132484,6296691,6473534,6661830,6859040,7061423,7266424,7473417,7683729,7899124,8122266,8355218,8597951,8850291,9113902,9390803,9682121,9987977,10307009,10636887,10974405,11316682,11662344,12010088,12357070,12700081,13036363,13364927,13684682,13992898,14286524,14563633,14823973,15068784,15299819,15519655,15731097,15935090,16134004,16333985,16542658,16766029,17006256,17263892,17541180,17840023,18161362,18505614,18871557,19256114,19654928,20063894,20481904,20906768,21332000,21749666,
East Asia & Pacific (excluding high income),EAP,"Population, male",SP.POP.TOTL.MA.IN,456865527,456390237,462289383,474007135,485530891,497556942,511400927,524770582,538636768,553391522,568637261,584240353,598975752,613240892,626735194,638980206,650268497,660737545,671185849,681781586,692194757,702963372,714926074,726956425,738460941,750370176,763111330,776655400,790371733,803731753,816742778,829152301,840728653,851843424,862861061,873653258,884250093,894725472,904830104,914365273,923421826,932097462,940421050,948450898,956307161,964144099,971798937,979223030,986590042,993862509,1001039415,1008192362,1015396235,1022621452,1029886769,1037098731,1044471102,1051896284,1058515382,1064364682,
Early-demographic dividend,EAR,"Population, male",SP.POP.TOTL.MA.IN,499843385,511722101,524014103,536687917,549758655,563215665,577052254,591301656,605901488,620878868,636231160,651958995,668063436,684562531,701393372,718555575,736026940,753840526,772129751,791087716,810821227,831357036,852623572,874491239,896764735,919310330,942077816,965052379,988112869,1011121472,1035068180,1057825771,1080331538,1102686479,1125025702,1147470480,1170071780,1192766967,1215442647,1238022063,1260544410,1282917241,1305162951,1327319193,1349458106,1371620668,1393828043,1416074234,1438309072,1460465314,1482546211,1504509662,1526128449,1547625213,1569059081,1590458273,1611798237,1633049978,1654276416,1675584988,
East Asia & Pacific,EAS,"Population, male",SP.POP.TOTL.MA.IN,529519689,531035336,538210979,551209885,564017034,577357703,592453217,606905059,621674368,638300210,654968302,672046855,688193110,703548891,718798101,732544154,744838679,756456442,768022185,779796839,791317918,803236419,816305967,829352917,841765650,854505232,868069714,882378708,896841229,910961868,924687756,937852437,950077167,961843551,973616863,985187230,996575130,1007688545,1018419921,1028448816,1038037277,1047307087,1056112992,1064525639,1072694584,1080811627,1088912822,1096755407,1104736520,1112465687,1120048241,1127516878,1135075263,1142607924,1150210426,1157771647,1165464072,1173138153,1179994701,1186037760,
Europe & Central Asia (excluding high income),ECA,"Population, male",SP.POP.TOTL.MA.IN,117831113,119973336,122128153,124284303,126427420,128535459,130302709,132029791,133733337,135421013,137087130,138753992,140414270,142069196,143728318,145372971,147102586,148840676,150569440,152314084,154094378,155889499,157629612,159374514,161247835,163130728,165021855,166929658,168774434,170423094,171624824,172777972,173722225,174387877,174760320,174932593,175121263,175301704,175475783,175545221,175593447,175560436,175546745,175636855,175807301,176013765,176286198,176722043,177363783,178263515,179300900,180438462,181594326,182880784,184185526,185535499,186857480,188100104,189217841,190250398,
Europe & Central Asia,ECS,"Population, male",SP.POP.TOTL.MA.IN,315468622,319485190,323624995,327794697,331916604,335901532,339416350,342817857,346072020,349240357,352134046,355017826,358143643,361181454,364112659,366955497,369743601,372423909,375068232,377717880,380425582,383062458,385466271,387767741,390180530,392659402,395241607,397882490,400534355,403083767,405210434,407175709,408905334,410393812,411412247,412110340,412764204,413384190,413985949,414576089,415074772,415604735,416396291,417526405,418803799,420101227,421407690,422920961,424622872,426391904,428103157,429243332,431082825,433260768,435510243,437768727,439993034,441972576,443797581,445561326,
Ecuador,ECU,"Population, male",SP.POP.TOTL.MA.IN,2271449,2337804,2406453,2477518,2551184,2627549,2706648,2788380,2872558,2958914,3047231,3137445,3229523,3323273,3418446,3514898,3612508,3711324,3811458,3913144,4016548,4121651,4228409,4336875,4447118,4559171,4672985,4788450,4905491,5023955,5143707,5264588,5386421,5508980,5632026,5755288,5878811,6002374,6125220,6246355,6365159,6481237,6594948,6707332,6819879,6933682,7049395,7166804,7285149,7403233,7520355,7635557,7749520,7865061,7986084,8114958,8253233,8399041,8547197,8690490,
Egypt,EGY,"Population, male",SP.POP.TOTL.MA.IN,13550852,13925375,14306429,14693713,15087126,15486305,15891963,16303208,16716329,17126514,17530807,17928047,18320815,18714783,19117780,19535957,19971531,20424520,20896140,21387078,21897956,22427856,22977293,23549682,24149411,24778366,25438966,26126816,26828521,27526076,28206574,28864811,29504234,30131408,30756962,31388900,32028819,32674779,33327175,33985719,34650424,35324563,36009889,36703207,37399737,38097621,38792840,39490814,40210317,40976510,41806215,42706356,43668307,44673997,45697157,46717677,47729771,48735777,49733470,50722597,
Euro area,EMU,"Population, male",SP.POP.TOTL.MA.IN,127183661,128453659,129771897,131124995,132459439,133774163,134994540,136055730,137052014,138050858,138881385,139723489,140738020,141700772,142566867,143352479,144031397,144631431,145233460,145843747,146485585,147062236,147482992,147803567,148082728,148402594,148821280,149290091,149849409,150546759,151287162,152028853,152766693,153417621,153886054,154303989,154724401,155113522,155463869,155896067,156450147,157109586,157946944,158876560,159815152,160690087,161471245,162325242,163122282,163649168,164034408,163675710,164038341,164602500,165191468,165738958,166294537,166717096,167149364,167616810,
Eritrea,ERI,"Population, male",SP.POP.TOTL.MA.IN,500725,513703,527392,541686,556453,571587,587052,602892,619176,636021,653506,671661,690490,709973,730096,750850,772175,794068,816732,840413,865251,890896,917085,944027,972037,1001083,1031876,1063653,1093151,1116054,1129540,1132638,1127114,1116293,1104977,1096982,1092603,1091796,1097527,1113262,1141069,1182579,1236180,1296606,1356481,1410332,1456458,1495912,1529321,1558278,1584071,1606565,,,,,,,,,
Spain,ESP,"Population, male",SP.POP.TOTL.MA.IN,14792379,14940488,15087344,15227925,15386926,15561395,15727548,15927887,16143344,16309987,16500396,16710357,16907151,17107036,17306924,17506300,17702606,17895155,18076568,18243527,18395939,18530960,18644790,18736385,18813010,18878064,18929410,18971848,19004565,19026945,19039810,19083030,19172769,19270246,19362165,19450213,19536222,19625533,19716936,19810123,19915055,20072613,20378968,20772551,21155313,21535302,21920911,22347423,22718867,22923925,23021109,23080992,23062475,22948578,22845827,22804740,22814173,22869416,22979269,23127681,
Estonia,EST,"Population, male",SP.POP.TOTL.MA.IN,534851,542878,552453,562478,572978,583095,591594,598346,605838,613945,622193,631124,639230,646183,652495,658326,663728,669329,674626,679068,683823,689254,694783,700143,705403,710958,717333,724183,729829,733384,733797,729161,714270,694104,677746,664904,655373,649018,644332,647619,651567,647537,642998,638205,633650,629579,625773,623109,621824,621068,620064,618522,616624,614840,613871,615261,616810,619230,623201,627071,
Ethiopia,ETH,"Population, male",SP.POP.TOTL.MA.IN,11010787,11270446,11545118,11833137,12131911,12439736,12752993,13072094,13403856,13757761,14138850,14555718,15002024,15450130,15862337,16214466,16494031,16717122,16923293,17168255,17492532,17910634,18412211,18982590,19596777,20236495,20897096,21585157,22306313,23069685,23880379,24740843,25644124,26574748,27511890,28440780,29355360,30260073,31163686,32080008,33019425,33985254,34975362,35988524,37021853,38074078,39143932,40234806,41355377,42517089,43727480,44989927,46300208,47648721,49021682,50408591,51805877,53214774,54635339,56069010,
European Union,EUU,"Population, male",SP.POP.TOTL.MA.IN,171912584,173537053,175227173,176978329,178735073,180405350,181974492,183471017,184862378,186208584,187312815,188399133,189738808,191038277,192278249,193479906,194566502,195540045,196452171,197327486,198223200,199047618,199711957,200251795,200739760,201253358,201853639,202498727,203206785,203941588,204658114,205287261,205896554,206569097,207082494,207471604,207805705,208113394,208390927,208741827,209011922,209324245,209853676,210655637,211496121,212284361,212997057,213725127,214415679,214926892,215238646,214871756,215213757,215769562,216356166,216893200,217436569,217846597,218264502,218723034,
Fragile and conflict affected situations,FCS,"Population, male",SP.POP.TOTL.MA.IN,91005803,93055491,95186058,97400491,99702234,102094146,104582274,107168564,109847536,112610897,115455353,118367296,121354644,124460162,127741789,131234977,134964801,138902544,142964175,147032989,151026997,154926784,158764882,162576721,166418984,170341874,174333287,178401421,182640245,187170118,193071408,198443758,204203273,210200026,216221416,222119801,227834861,233427793,238992677,244735285,250784868,257181757,263880942,270824796,277921569,285105372,292355907,299698162,307167303,314807210,322649755,330725941,339017203,347447685,355912187,364347004,372702405,381028101,389508827,398389374,
Finland,FIN,"Population, male",SP.POP.TOTL.MA.IN,2133537,2150143,2166164,2182698,2195800,2203775,2212409,2224499,2234439,2233099,2224767,2227891,2241675,2254998,2267319,2277714,2284699,2291055,2297554,2303444,2310808,2321101,2334755,2349481,2362922,2373684,2382312,2390024,2398003,2407846,2419886,2434684,2450097,2463754,2476114,2487162,2496757,2505481,2513341,2520374,2526845,2533898,2541376,2548805,2557589,2567723,2578956,2591302,2604763,2618656,2632137,2645901,2660106,2673973,2686568,2696829,2705857,2713357,2718009,2721371,
Fiji,FJI,"Population, male",SP.POP.TOTL.MA.IN,202668,209616,216601,223517,230241,236669,242758,248525,254035,259409,264743,270076,275392,280734,286122,291594,297059,302546,308282,314591,321641,329653,338411,347144,354777,360590,364223,366030,366836,367899,370087,373677,378367,383743,389156,394115,398599,402724,406398,409499,411973,413676,414677,415479,416768,419007,422456,426906,431693,435918,438944,440531,440960,440762,440710,441369,442909,445149,447921,450958,
France,FRA,"Population, male",SP.POP.TOTL.MA.IN,22614666,22933449,23273576,23619678,23951116,24253168,24518388,24750717,24960823,25165151,25375129,25595353,25820456,26040146,26239521,26408635,26543828,26651006,26741557,26831677,26933270,27049772,27178329,27316768,27460701,27606557,27755060,27906858,28058073,28203735,28340424,28490243,28624095,28739731,28837844,28932793,29025851,29118975,29216330,29356013,29545788,29748358,29951444,30151235,30363616,30587078,30799429,30992899,31171635,31338373,31499006,31656528,31814439,31981567,32133948,32245927,32324929,32383457,32422055,32458740,
Faroe Islands,FRO,"Population, male",SP.POP.TOTL.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Population, male",SP.POP.TOTL.MA.IN,22928,23659,24402,25170,26003,26913,27924,29015,30086,30998,31667,32033,32174,32199,32305,32631,33206,34002,34990,36098,37275,38531,39863,41227,42571,43836,44997,46050,47060,48108,49251,50522,51878,53181,54255,54968,55280,55240,54958,54629,54367,54248,54216,54216,54147,53936,53564,53076,52594,52279,52238,52512,53060,53802,54590,55348,56026,56667,57272,57869,
Gabon,GAB,"Population, male",SP.POP.TOTL.MA.IN,244825,247080,249574,252363,255515,259083,263103,267570,272396,277452,282686,288063,293634,299455,305634,312260,319357,326908,334910,343353,352242,361558,371314,381531,392212,403377,415025,427141,439655,452481,465565,478888,492456,506265,520314,534616,549252,564234,579481,594848,610303,625811,641572,658050,675832,695393,716736,739777,764789,792072,821713,853933,888352,923797,958671,991829,1022804,1051841,1079376,1106193,
United Kingdom,GBR,"Population, male",SP.POP.TOTL.MA.IN,25305010,25522300,25765002,25982724,26172821,26356866,26511548,26658151,26788843,26902108,27014939,27138062,27243879,27311806,27342887,27351192,27350823,27344961,27346810,27369888,27400008,27405829,27391153,27395178,27433617,27491965,27553165,27610677,27671897,27744131,27827129,27913058,27988630,28056609,28130505,28209587,28288204,28369965,28464389,28574782,28696560,28831359,28981791,29147334,29343426,29572935,29815056,30069069,30325613,30574485,30834622,31097291,31335746,31567929,31822154,32094826,32356947,32594185,32807966,33007819,
Georgia,GEO,"Population, male",SP.POP.TOTL.MA.IN,1698429,1727388,1755799,1783868,1811267,1837387,1860705,1881242,1900393,1919830,1939426,1960055,1979775,1996674,2013248,2027250,2040937,2053899,2065157,2080186,2098317,2116916,2136936,2158407,2179972,2202475,2225755,2248065,2273963,2282447,2282896,2298372,2314074,2328923,2290655,2204655,2125971,2059936,2011520,1972775,1936826,1908793,1893355,1881949,1871328,1860110,1849734,1839847,1833806,1817287,1804167,1790352,1778218,1774019,1775779,1779006,1779921,1779524,1777890,1773959,
Ghana,GHA,"Population, male",SP.POP.TOTL.MA.IN,3370848,3480657,3595941,3713270,3828059,3937231,4038659,4133751,4227143,4325528,4433412,4553675,4684195,4818455,4947163,5064256,5166931,5259028,5349255,5449884,5569720,5711864,5873594,6050776,6236748,6426595,6619066,6815532,7016692,7223995,7438254,7659750,7887287,8118534,8350365,8580701,8808763,9035566,9263034,9493994,9730713,9973340,10221785,10477718,10743123,11019193,11306876,11605325,11911715,12222050,12533389,12844634,13156376,13469421,13785230,14104837,14428230,14754803,15084235,15416085,
Gibraltar,GIB,"Population, male",SP.POP.TOTL.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Population, male",SP.POP.TOTL.MA.IN,1728693,1756269,1784593,1813913,1844596,1876809,1910738,1946050,1981725,2016390,2049098,2079754,2108770,2136310,2162714,2188454,2213661,2238916,2265774,2296203,2331758,2372654,2418991,2471968,2532918,2602542,2681596,2769165,2862192,2956483,3048946,3138235,3224913,3310145,3395925,3483624,3573783,3665586,3757500,3847345,3933797,4016248,4095802,4174799,4256525,4343415,4436814,4536384,4641004,4748735,4858469,4969536,5083246,5202754,5332365,5474964,5631810,5801517,5981081,6166075,
Gambia,GMB,"Population, male",SP.POP.TOTL.MA.IN,181667,185874,190090,194417,198999,203962,209344,215111,221245,227658,234331,241246,248444,255992,263972,272456,281539,291217,301333,311681,322127,332505,342976,354125,366763,381406,398335,417225,437286,457426,476819,495237,512902,530045,547101,564393,581929,599667,617814,636618,656265,676895,698481,720852,743720,766915,790378,814220,838604,863778,889919,917084,945199,974247,1004097,1034700,1066030,1098093,1130882,1164369,
Guinea-Bissau,GNB,"Population, male",SP.POP.TOTL.MA.IN,303531,306678,309580,312478,315717,319522,323919,328798,334159,339959,346109,352813,359967,366796,372278,375766,376820,375921,374396,374130,376449,381843,389874,399790,410399,420834,430882,440791,450677,460775,471252,482137,493299,504568,515743,526688,537364,547877,558435,569348,580844,593008,605833,619396,633751,648960,665041,682007,699852,718542,738046,758357,779432,801146,823342,845892,868733,891865,915247,938865,
Equatorial Guinea,GNQ,"Population, male",SP.POP.TOTL.MA.IN,125289,127053,128843,130835,133277,136287,140086,144453,148488,150971,151096,148596,143930,137969,131981,126959,123021,120106,118858,119986,123922,131101,141188,152918,164502,174664,182951,189744,195611,201467,208020,215375,223361,232033,241415,251515,262441,274267,286936,300341,314424,329133,344568,360964,378637,397801,418513,440660,464035,488363,513400,539062,565317,591999,618929,645982,673069,700110,727058,753825,
Greece,GRC,"Population, male",SP.POP.TOTL.MA.IN,4083979,4117950,4142619,4157320,4171934,4191890,4224431,4261360,4292126,4310862,4323442,4344563,4374972,4396929,4415452,4459871,4532984,4596009,4659780,4721853,4771690,4817509,4849813,4880182,4906062,4926036,4942509,4958572,4975954,5001742,5055537,5118166,5159759,5192959,5221696,5248356,5273208,5300456,5330399,5350484,5371003,5396607,5413095,5421670,5429597,5438858,5447147,5451792,5456773,5462689,5463359,5451489,5420637,5381647,5346628,5311962,5289903,5279194,5268106,5259724,
Grenada,GRD,"Population, male",SP.POP.TOTL.MA.IN,41714,42456,43107,43648,44090,44426,44641,44754,44769,44734,44684,44637,44599,44533,44391,44148,43753,43257,42826,42689,42995,43844,45138,46617,47890,48693,48920,48669,48155,47694,47509,47662,48087,48674,49277,49774,50151,50438,50678,50897,51141,51415,51687,51967,52240,52495,52729,52951,53168,53406,53670,53970,54285,54623,54962,55287,55597,55891,56165,56427,
Greenland,GRL,"Population, male",SP.POP.TOTL.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Population, male",SP.POP.TOTL.MA.IN,2090469,2152935,2217187,2282980,2349996,2417911,2486595,2555628,2624554,2692982,2760746,2827935,2894809,2961626,3028600,3095596,3163054,3231948,3303766,3380118,3461960,3549325,3641903,3738529,3838506,3941499,4047411,4156217,4267710,4381534,4496993,4613187,4729181,4844456,4959595,5075718,5192086,5309020,5429456,5554150,5686814,5822337,5956251,6087253,6218537,6350065,6481540,6612866,6743851,6874322,7004138,7135035,7265171,7396093,7527272,7658027,7788565,7918969,8049345,8178496,
Guam,GUM,"Population, male",SP.POP.TOTL.MA.IN,39048,39485,40153,40983,41876,42754,43591,44402,45201,45979,46741,47494,48233,48954,49660,50358,51038,51717,52442,53286,54295,55489,56839,58329,59901,61506,63146,64804,66459,68068,69608,71063,72411,73672,74811,75855,76787,77604,78319,78920,79430,79848,80175,80428,80613,80746,80838,80895,80941,80975,81026,81094,81178,81324,81561,81918,82412,83029,83722,84436,
Guyana,GUY,"Population, male",SP.POP.TOTL.MA.IN,286457,295599,304560,313131,321077,328243,334518,339978,344819,349359,353831,358229,362514,366734,370952,375160,379452,383718,387638,390743,392712,393525,393289,392034,389809,386727,382664,377803,372896,368982,366733,366541,368127,370721,373206,374780,375184,374677,373633,372625,372093,372138,372626,373291,373789,373876,373451,372653,371850,371507,371956,373314,375463,378139,380980,383716,386264,388680,390997,393266,
High income,HIC,"Population, male",SP.POP.TOTL.MA.IN,380890627,386689534,391825598,396925590,401965256,406793645,411327346,415572851,419396090,424116598,428397668,433061702,437572699,441644856,446265494,450654682,454371845,458179946,462004414,465993966,469878980,473797365,477517891,481011888,484328072,487657200,491123239,494580717,498103326,501840022,505769801,509919230,512842388,516870554,520700424,525283434,528839579,532279649,535647833,539022579,542419094,545913000,549523756,553257967,557260914,561415023,565975115,570719335,575757027,580348235,584473602,587473145,591079405,594677133,598369754,602008386,605674544,608967517,612021826,614963001,
"Hong Kong SAR, China",HKG,"Population, male",SP.POP.TOTL.MA.IN,1585035,1633879,1706066,1767060,1810694,1857957,1872305,1917075,1954168,1980787,2024133,2061718,2094299,2148249,2215620,2262670,2303026,2353621,2415159,2566378,2644552,2708276,2745030,2776938,2792855,2812360,2838206,2858140,2874132,2896343,2898176,2915184,2933022,2976899,3036813,3088271,3217429,3232219,3246333,3263849,3278577,3288031,3287182,3264894,3274485,3273098,3278837,3292212,3297759,3291642,3303748,3315094,3342076,3346624,3361767,3382217,3395092,3412711,3432494,3451238,
Honduras,HND,"Population, male",SP.POP.TOTL.MA.IN,1022660,1051045,1080125,1110072,1141097,1173365,1206967,1241919,1278179,1315648,1354300,1394111,1435189,1477732,1522005,1568213,1616430,1666597,1718610,1772308,1827560,1884347,1942697,2002544,2063821,2126486,2190558,2256049,2322979,2391364,2461224,2532455,2605113,2679637,2756631,2836447,2919211,3004600,3091992,3180527,3269500,3358624,3447855,3537042,3626103,3714933,3803457,3891487,3978643,4064459,4148645,4231000,4311692,4391236,4470389,4549692,4629297,4709092,4789031,4868995,
Heavily indebted poor countries (HIPC),HPC,"Population, male",SP.POP.TOTL.MA.IN,80140010,82055417,84048705,86123036,88282187,90528937,92864683,95289390,97803152,100405298,103095197,105872681,108737316,111687077,114719401,117832127,121030992,124316588,127676402,131093401,134559128,138072478,141649689,145321680,149129555,153106959,157254889,161575798,166104453,170882702,175934380,181290118,186929015,192760571,198659325,204539822,210362526,216166907,222042844,228121151,234495940,241204849,248218604,255483931,262917790,270464308,278105875,285875976,293830646,302049107,310588076,319462554,328652647,338136618,347878767,357849657,368045791,378466407,389086687,399876908,
Croatia,HRV,"Population, male",SP.POP.TOTL.MA.IN,1988206,2003127,2019513,2035841,2051191,2066607,2082442,2097057,2110918,2124188,2135029,2145109,2155343,2165666,2176234,2186972,2198603,2209887,2219946,2226101,2227992,2233057,2243386,2254436,2264820,2275201,2285560,2295486,2304180,2310972,2316299,2273298,2217770,2228602,2252069,2234776,2202224,2189097,2185313,2173802,2151012,2069143,2070327,2071338,2072468,2075607,2076429,2076246,2076122,2073859,2068839,2061076,2053880,2047224,2038228,2021330,2007658,1984597,1968189,1959758,
Haiti,HTI,"Population, male",SP.POP.TOTL.MA.IN,1897440,1935256,1973610,2012497,2051949,2091965,2132708,2174117,2215726,2256901,2297293,2336733,2375662,2415101,2456478,2500830,2548408,2599057,2652982,2710308,2771023,2835304,2902901,2972767,3043513,3114074,3184046,3253544,3322710,3391881,3461320,3530964,3600656,3670485,3740540,3810912,3881635,3952709,4024089,4095707,4167537,4239512,4311674,4384191,4457286,4531087,4605611,4680722,4756240,4831903,4907497,4983003,5058348,5133166,5207006,5279571,5350618,5420284,5489042,5557595,
Hungary,HUN,"Population, male",SP.POP.TOTL.MA.IN,4814047,4836649,4855013,4871709,4891401,4908717,4926621,4947546,4968545,4990808,5010757,5025401,5040016,5055526,5077458,5107070,5135455,5159939,5178201,5187156,5188800,5185874,5178214,5164997,5149134,5134688,5121515,5109019,5097510,5038418,4982258,4977003,4969678,4958466,4946257,4934293,4921152,4906937,4891567,4874033,4857933,4843580,4826875,4810503,4797763,4786670,4778206,4770310,4761939,4754950,4744940,4732572,4709560,4698182,4687178,4677655,4665398,4654465,4649998,4648823,
IBRD only,IBD,"Population, male",SP.POP.TOTL.MA.IN,967411516,977864317,994979392,1018190373,1041414145,1065228590,1090696395,1115944279,1141871193,1168903346,1196680743,1225138796,1253119304,1280961343,1308380226,1334901673,1360868017,1386308587,1412009074,1438181006,1464549305,1491631128,1520145881,1548964301,1577563739,1606697233,1636760402,1667715134,1698793239,1729293949,1758877199,1787650398,1815265209,1842244997,1868830186,1894893709,1920690573,1946335690,1971597512,1996183823,2019975381,2043249318,2066159949,2088916320,2111504206,2134013038,2156283497,2178261970,2200283373,2222510733,2244521738,2266776058,2289182567,2311694052,2334077841,2356182801,2378165455,2399875410,2420399968,2439835696,
IDA & IBRD total,IBT,"Population, male",SP.POP.TOTL.MA.IN,1158131997,1173160409,1195030156,1223190985,1251575432,1280767540,1311849854,1342936285,1374877417,1408029199,1441986000,1476666804,1510946451,1545232002,1579339255,1612863487,1646172596,1679281728,1712958756,1747383875,1782257232,1818097470,1855637275,1893749199,1931910229,1970874269,2011029308,2052334124,2094035584,2135467697,2176347220,2216660829,2256135118,2295181394,2333944683,2372274011,2410413162,2448474785,2486253164,2523500731,2560251361,2596748412,2633143749,2669635024,2706190976,2742880197,2779562338,2816213579,2853153510,2890516392,2928013585,2965923261,3004032458,3042551650,3081344522,3120323491,3159646150,3199134301,3237899345,3276080982,
IDA total,IDA,"Population, male",SP.POP.TOTL.MA.IN,190720481,195296092,200050764,205000612,210161287,215538950,221153459,226992006,233006224,239125853,245305257,251528008,257827147,264270659,270959029,277961814,285304579,292973141,300949682,309202869,317707927,326466342,335491394,344784898,354346490,364177036,374268906,384618990,395242345,406173748,417470021,429010431,440869909,452936397,465114497,477380302,489722589,502139095,514655652,527316908,540275980,553499094,566983800,580718704,594686770,608867159,623278841,637951609,652870137,668005659,683491847,699147203,714849891,730857598,747266681,764140690,781480695,799258891,817499377,836245286,
IDA blend,IDB,"Population, male",SP.POP.TOTL.MA.IN,61567394,63008049,64520327,66101907,67749301,69460354,71238118,73085373,75000027,76979026,79022669,81127196,83300151,85566864,87960668,90504675,93208934,96064613,99052194,102142422,105313046,108555416,111872683,115268418,118750284,122321957,125985206,129731280,133540645,137387702,141310117,145164754,149060709,152992926,156969513,161030248,165218300,169509932,173850281,178170045,182545802,186916759,191309009,195756227,200314935,205024065,209902545,214960447,220182381,225532758,231143594,236837427,242457110,248189804,254043749,260009558,266076012,272228821,278475560,284824364,
Indonesia,IDN,"Population, male",SP.POP.TOTL.MA.IN,43601933,44783804,46003002,47261267,48561887,49906681,51295046,52723889,54189618,55687585,57213871,58766661,60344830,61945911,63567431,65207341,66862448,68531529,70216852,71922157,73649140,75395525,77156409,78927366,80702841,82476907,84250427,86018599,87763164,89460912,91096367,92662325,94166214,95625781,97066956,98509832,99960470,101417353,102883958,104362178,105853828,107361266,108887179,110433474,112001706,113592388,115204868,116837200,118486537,120149072,121820499,123499379,125181410,126855970,128509832,130132841,131719776,133270226,134784915,136269762,
IDA only,IDX,"Population, male",SP.POP.TOTL.MA.IN,129153087,132288043,135530437,138898705,142411986,146078596,149915341,153906633,158006197,162146827,166282588,170400812,174526996,178703795,182998361,187457139,192095645,196908528,201897488,207060447,212394881,217910926,223618711,229516480,235596206,241855079,248283700,254887710,261701700,268786046,276159904,283845677,291809200,299943471,308144984,316350054,324504289,332629163,340805371,349146863,357730178,366582335,375674791,384962477,394371835,403843094,413376296,422991162,432687756,442472901,452348253,462309776,472392781,482667794,493222932,504131132,515404683,527030070,539023817,551420922,
Isle of Man,IMN,"Population, male",SP.POP.TOTL.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Population, male",SP.POP.TOTL.MA.IN,232504741,237313421,242296454,247438411,252717316,258120907,263638001,269283161,275100841,281151625,287477047,294098353,300998427,308133554,315439602,322871273,330405802,338059110,345870436,353898050,362179439,370724073,379503286,388469530,397556537,406713090,415921167,425183249,434493471,443851779,453257378,462697153,472162605,481663760,491216889,500830599,510502544,520217327,529954036,539685381,549387865,559042840,568640651,578176498,587649479,597052215,606386475,615629521,624720985,633583575,642164185,650437004,658421676,666167747,673749546,681223338,688600704,695871194,703042609,710129571,
Not classified,INX,"Population, male",SP.POP.TOTL.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Population, male",SP.POP.TOTL.MA.IN,1421923,1418838,1424161,1432274,1439158,1444452,1450068,1456742,1463154,1471649,1484028,1501627,1524302,1549180,1575307,1601674,1626255,1648612,1672222,1694431,1713467,1732692,1747845,1758720,1767940,1769009,1768010,1766362,1757033,1748433,1748458,1757325,1768408,1776576,1783114,1791991,1806069,1824240,1843609,1865195,1891446,1923642,1958623,1993055,2031416,2076648,2132639,2193388,2236045,2256124,2265836,2273238,2280451,2290372,2305716,2327061,2354000,2381248,2412947,2451664,
Iran,IRN,"Population, male",SP.POP.TOTL.MA.IN,11242528,11541314,11848695,12164806,12489812,12823991,13169026,13525800,13893008,14268698,14652445,15044558,15448857,15872970,16326779,16818152,17348119,17916966,18530478,19195171,19914488,20685480,21502490,22361556,23257500,24182323,25138439,26114353,27071406,27959755,28744606,29409839,29966688,30442123,30877476,31304196,31728560,32144794,32558036,32971616,33387556,33813999,34252346,34689324,35105751,35489610,35834477,36149940,36459377,36795160,37180190,37622120,38112868,38640046,39184195,39730147,40274547,40819018,41358928,41889897,
