Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,DNK,"Population, female",SP.POP.TOTL.FE.IN,2307409,2324007,2342694,2361695,2380857,2399304,2418014,2436154,2449952,2462751,2481117,2498855,2514189,2530848,2544259,2553213,2561213,2570770,2580308,2588161,2592761,2593418,2592801,2592130,2591623,2593189,2596811,2599910,2600721,2601671,2605214,2611254,2619128,2627058,2635094,2647983,2662105,2672273,2681113,2689192,2697501,2706617,2714812,2721780,2728329,2735229,2743473,2754784,2770023,2783770,2794956,2805142,2814288,2824671,2837901,2857267,2879322,2897965,2912704,2925675,
Dominican Republic,DOM,"Population, female",SP.POP.TOTL.FE.IN,1626250,1682015,1739161,1797495,1856782,1916853,1977571,2038895,2100796,2163285,2226358,2289952,2354001,2418461,2483292,2548456,2613937,2679707,2745631,2811619,2877577,2943469,3009322,3075226,3141283,3207596,3274117,3340830,3407936,3475676,3544174,3613472,3683373,3753552,3823572,3893051,3961993,4030352,4097617,4163183,4226672,4287805,4346856,4404718,4462660,4521593,4581824,4643112,4705131,4767298,4829195,4890689,4951904,5012858,5073654,5134310,5194800,5254947,5314411,5372760,
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,5499822,5640482,5784350,5933119,6089191,6254194,6429093,6613196,6804543,7000299,7198561,7398833,7602261,7810701,8026759,8252489,8487850,8732613,8988364,9257012,9539544,9836324,10145893,10464988,10789170,11114820,11440045,11764196,12086397,12406109,12722506,13035552,13343644,13642617,13927250,14194152,14442432,14674195,14892935,15103751,15311138,15516424,15721105,15930172,16149505,16383695,16634746,16903080,17189428,17493858,17816093,18155830,18512330,18884018,19268759,19664131,20069500,20482430,20896429,21303388,
East Asia & Pacific (excluding high income),EAP,"Population, female",SP.POP.TOTL.FE.IN,437970091,438048258,444082360,455584087,466918439,478757308,492350890,505521310,519161569,533611107,548472212,563612009,577877021,591656949,604686175,616526439,627455076,637600894,647732968,658024796,668171495,678695493,690386445,702143470,713358149,724883771,737109491,750025608,763079449,775833992,788341361,800373219,811691323,822626762,833491518,844135510,854585653,864910113,874842480,884157446,892916011,901206152,909065442,916559122,923817708,931006555,937967531,944670559,951343227,958031543,964791914,971720324,978871741,986176231,993586751,1000966955,1008507999,1016121452,1022998329,1029184609,
Early-demographic dividend,EAR,"Population, female",SP.POP.TOTL.FE.IN,480160004,491472853,503190618,515284983,527772638,540644312,553895468,567559513,581573228,595960459,610716522,625840457,641333756,657217008,673431619,689979180,706835595,724029528,741690186,760005410,779076142,798936442,819511321,840642875,862098513,883722308,905448753,927283995,949166041,971038899,993925427,1015765375,1037454184,1059075232,1080733192,1102523460,1124504899,1146612467,1168685295,1190584090,1212308413,1233744995,1254938501,1275981543,1297025459,1318171381,1339450793,1360848262,1382327523,1403833520,1425370702,1446919386,1468235604,1489485873,1510649465,1531698639,1552588680,1573311045,1593963032,1614705634,
East Asia & Pacific,EAS,"Population, female",SP.POP.TOTL.FE.IN,511374181,513443372,520739993,533516542,546125249,559259529,574070466,588286447,602776403,619072059,635330912,651950637,667652067,682547577,697364667,710718302,722631851,733892964,745103419,756534052,767769289,779441547,792255633,805064042,817235923,829652837,842775567,856540074,870427646,884029240,897331590,910191765,922222949,933871590,945558719,957057649,968381521,979433306,990087737,999999775,1009397979,1018397667,1026863915,1034866364,1042552991,1050124213,1057621009,1064821310,1072175422,1079387954,1086631477,1093951495,1101538437,1109232334,1117063147,1124873914,1132810407,1140747266,1147930486,1154376978,
Europe & Central Asia (excluding high income),ECA,"Population, female",SP.POP.TOTL.FE.IN,137462224,139436957,141440237,143460522,145482317,147482037,149088916,150667951,152238337,153811843,155384776,156983142,158594912,160209417,161820065,163396244,165046620,166683721,168299207,169932417,171613530,173328057,174990904,176655231,178439891,180193765,181904016,183595181,185214416,186665136,187688846,188759449,189677077,190350491,190738166,190925726,191132788,191347263,191577094,191716213,191850221,191921722,192029290,192257609,192571800,192912992,193312406,193877158,194640639,195649698,196759189,197935620,199108334,200389877,201662513,202971978,204235447,205398602,206420180,207359941,
Europe & Central Asia,ECS,"Population, female",SP.POP.TOTL.FE.IN,350130927,353788675,357563590,361374956,365164110,368860699,372072448,375212235,378243708,381220187,383914069,386613354,389594648,392498257,395301900,398021470,400702401,403281678,405835809,408408484,411055592,413644273,415990053,418214341,420523228,422840937,425191644,427545043,429897953,432192874,434108831,435981896,437695308,439217075,440272012,440997689,441677366,442335494,442983869,443615942,444134640,444668224,445459068,446601111,447909640,449254697,450630854,452243513,454053013,455907693,457637538,458717438,460488272,462572326,464675628,466742887,468726255,470413189,471918255,473373345,
Ecuador,ECU,"Population, female",SP.POP.TOTL.FE.IN,2272217,2336368,2402748,2471468,2542670,2616428,2692774,2771632,2852901,2936453,3022145,3109973,3199856,3291570,3384834,3479436,3575279,3672400,3770895,3870928,3972638,4076001,4180988,4287719,4396344,4506938,4619489,4733910,4850088,4967915,5087227,5207887,5329708,5452486,5575975,5699916,5824363,5949078,6073229,6195760,6315964,6433430,6548517,6662346,6776509,6892165,7009989,7129753,7250590,7371191,7490762,7608326,7724582,7842413,7965754,8097062,8237882,8386320,8537160,8683172,
Egypt,EGY,"Population, female",SP.POP.TOTL.FE.IN,13082042,13440862,13805827,14177670,14557749,14946717,15345637,15753302,16165519,16576625,16983043,17383863,17781844,18181771,18590366,19013185,19451199,19905069,20379596,20880357,21411107,21972257,22562003,23178604,23819231,24480366,25163388,25864884,26570725,27262609,27927901,28559738,29162580,29749250,30338842,30945134,31572810,32217491,32873094,33529872,34181137,34828098,35475154,36122890,36772336,37425948,38080823,38741312,39425762,40158288,40955020,41822894,42753933,43730643,44727497,45724870,46717301,47706816,48690125,49665476,
Euro area,EMU,"Population, female",SP.POP.TOTL.FE.IN,138020273,139167442,140338159,141530383,142703948,143876794,144974500,145919153,146814395,147727779,148457460,149199931,150136575,151027462,151832358,152571048,153220127,153810414,154419360,155042743,155698645,156280899,156691248,156983926,157216406,157475133,157819358,158198299,158667064,159290833,159975426,160679284,161395365,162031478,162480725,162877459,163278614,163648240,163970112,164362831,164860644,165438288,166178392,167009404,167867353,168690330,169451544,170319923,171152443,171711722,172117071,171743933,172120853,172699613,173270754,173749422,174187216,174446501,174693792,174980888,
Eritrea,ERI,"Population, female",SP.POP.TOTL.FE.IN,506865,519625,533094,547168,561706,576602,591823,607410,623459,640102,657439,675515,694307,713788,733887,754589,775800,797552,820037,843526,868165,893665,919738,946531,974268,1002854,1032918,1063769,1092454,1115087,1129113,1133720,1130482,1122333,1113453,1107240,1103861,1103383,1108905,1124143,1151347,1192143,1244878,1304367,1363322,1416327,1461747,1500624,1533458,1561642,1586364,1607407,,,,,,,,,
Spain,ESP,"Population, female",SP.POP.TOTL.FE.IN,15662621,15798762,15936022,16068726,16222269,16392897,16555646,16755060,16969790,17131067,17314135,17514133,17697318,17881911,18066411,18251600,18435206,18616483,18788330,18947803,19095226,19227671,19341222,19435140,19517354,19591448,19655214,19712967,19762374,19800819,19827512,19883346,19984916,20091016,20186943,20273837,20353630,20431856,20506573,20576752,20652809,20777799,21052590,21415094,21766582,22117853,22476408,22879380,23235239,23439021,23555788,23661705,23710580,23671467,23635055,23640092,23669889,23723820,23818485,23949100,
Estonia,EST,"Population, female",SP.POP.TOTL.FE.IN,676686,682199,689170,696379,704108,711471,717003,720600,725376,731304,737883,745831,753288,759768,765674,771026,775848,780882,785562,789265,793396,798412,803631,808602,813214,817823,822857,828038,832071,834747,835377,832153,818821,800024,784768,771730,760221,750517,741824,742625,745418,740578,736352,732515,728900,725196,721037,717571,715266,713447,711411,708917,706072,703157,700674,700146,698980,698154,698776,699519,
Ethiopia,ETH,"Population, female",SP.POP.TOTL.FE.IN,11140491,11400745,11676271,11965293,12265111,12573890,12888051,13208038,13540534,13894948,14276227,14692925,15138780,15586532,15999015,16352388,16634118,16860120,17070008,17319544,17649180,18073894,18583037,19160084,19777571,20415646,21068597,21744074,22450890,23202614,24007486,24869126,25779461,26720818,27669108,28607128,29528170,30437370,31344038,32263005,33205379,34174169,35166729,36182060,37217652,38272233,39345274,40439542,41560858,42716824,43912484,45150000,46426763,47737064,49072571,50426867,51797624,53185250,54589220,56009720,
European Union,EUU,"Population, female",SP.POP.TOTL.FE.IN,184993492,186461365,187973300,189538162,191115171,192627382,194064627,195446960,196743065,198008391,199010093,199992836,201256175,202486460,203671140,204836671,205906987,206885445,207819597,208724399,209652652,210504314,211183630,211722625,212191551,212671125,213222730,213803129,214446258,215131568,215819865,216443264,217067338,217772033,218316630,218731739,219091158,219424664,219718936,220073666,220316702,220571383,221028268,221760302,222544115,223297588,224000992,224743273,225460995,225990908,226293766,225875220,226182175,226699909,227220497,227650559,228051159,228284676,228513171,228789007,
Fragile and conflict affected situations,FCS,"Population, female",SP.POP.TOTL.FE.IN,91991113,94082280,96251522,98502321,100838617,103263834,105783103,108398269,111105014,113896544,116770113,119715191,122738174,125872332,129162818,132637090,136314950,140174128,144148607,148146711,152104194,156006134,159878500,163749856,167665908,171666738,175743324,179902656,184219710,188790493,194652413,199945895,205570131,211407934,217292675,223108370,228810650,234447270,240080582,245867906,251905703,258218899,264777740,271558139,278517132,285622194,292867680,300262158,307805773,315492230,323317930,331300369,339435233,347672663,355946632,364221192,372455677,380689515,389091807,397884528,
Finland,FIN,"Population, female",SP.POP.TOTL.FE.IN,2296097,2310862,2325279,2340611,2352743,2359957,2368460,2381245,2392030,2390686,2381540,2384233,2397982,2411083,2423255,2433726,2440965,2447847,2454974,2461246,2468727,2478863,2492178,2506306,2518881,2528522,2535842,2542099,2548478,2556525,2566545,2579056,2591895,2602693,2612219,2620628,2627816,2634354,2640157,2645100,2649364,2654110,2659222,2664209,2670583,2678373,2687312,2697418,2708636,2720215,2731215,2742371,2753865,2764999,2774944,2782702,2789446,2794857,2797516,2798943,
Fiji,FJI,"Population, female",SP.POP.TOTL.FE.IN,190813,197633,205064,212776,220301,227299,233646,239456,244905,250295,255819,261559,267452,273404,279293,285032,290498,295750,301101,306994,313666,321368,329869,338353,345706,351185,354416,355753,356094,356695,358486,361724,366102,371220,376453,381310,385787,390012,393759,396804,399033,400249,400580,400597,401092,402597,405414,409284,413668,417719,420874,422918,424109,424846,425743,427258,429490,432310,435562,438995,
France,FRA,"Population, female",SP.POP.TOTL.FE.IN,24007003,24307094,24631301,24962933,25279479,25564860,25811874,26025077,26214685,26396685,26582609,26775989,26972682,27167588,27352712,27522755,27676194,27816696,27950294,28085441,28228257,28380524,28540604,28707002,28876965,29048139,29221063,29395805,29569032,29736477,29895273,30069068,30227122,30367037,30489348,30609106,30727249,30845876,30969958,31140705,31366712,31609072,31853823,32093651,32341279,32592273,32821952,33023326,33203349,33368667,33528501,33686252,33845370,34017120,34178119,34302345,34399175,34480922,34543857,34601147,
Faroe Islands,FRO,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Population, female",SP.POP.TOTL.FE.IN,21586,22273,22965,23685,24465,25314,26268,27292,28302,29147,29750,30049,30105,30071,30150,30497,31155,32080,33204,34419,35655,36892,38149,39402,40624,41804,42908,43929,44925,45949,47050,48248,49511,50734,51775,52561,53041,53240,53250,53152,53035,52925,52814,52685,52478,52193,51807,51368,50949,50696,50673,50938,51446,52124,52856,53547,54189,54792,55368,55946,
Gabon,GAB,"Population, female",SP.POP.TOTL.FE.IN,256103,258719,261713,265217,269380,274278,280009,286489,293370,300194,306628,312550,318070,323465,329108,335276,342045,349347,357167,365435,374086,383138,392616,402530,412903,423731,435023,446726,458814,471230,483923,496895,510123,523513,536941,550330,563703,577104,590580,604204,618057,632192,646743,661903,677963,695156,713416,732798,753751,776856,802427,830702,861330,893274,925129,955857,985069,1012982,1039899,1066386,
United Kingdom,GBR,"Population, female",SP.POP.TOTL.FE.IN,27094990,27277700,27484998,27667276,27827179,27991184,28136952,28285449,28422857,28539642,28648311,28758161,28842186,28882721,28887087,28874608,28861145,28848531,28849694,28877063,28914208,28928000,28922488,28937670,28988455,29058303,29128231,29191373,29256430,29332580,29420457,29511839,29591772,29662005,29735240,29809443,29878746,29946989,30022752,30107684,30195954,30288314,30388688,30500243,30644479,30828271,31031764,31253394,31481382,31701785,31931743,32161519,32364469,32560344,32780144,33021393,33254646,33464674,33652378,33826586,
Georgia,GEO,"Population, female",SP.POP.TOTL.FE.IN,1947171,1976212,2004501,2032232,2059033,2084213,2105995,2124558,2141907,2160470,2180474,2202945,2225525,2245826,2266252,2283950,2301463,2318201,2332543,2350014,2369383,2387584,2405864,2424493,2442228,2460425,2478745,2495435,2516737,2520853,2519104,2537528,2559426,2582177,2545421,2453067,2365728,2289977,2232087,2184417,2140305,2105580,2085160,2069787,2056012,2042359,2030613,2020311,2014643,1997132,1982528,1966089,1950656,1943649,1943635,1946270,1947584,1948480,1948659,1946423,
Ghana,GHA,"Population, female",SP.POP.TOTL.FE.IN,3264382,3367638,3476030,3586846,3696413,3802242,3902753,3999052,4094627,4194487,4302083,4419569,4545436,4675101,4801941,4921690,5032234,5136424,5241006,5355430,5486396,5636425,5803229,5982799,6168912,6357018,6545771,6736489,6930350,7129415,7335023,7547617,7766049,7988231,8211309,8433356,8653733,8873419,9094122,9318365,9548143,9783588,10024596,10272581,10529200,10795449,11072179,11358621,11652110,11948890,12246230,12543076,12840073,13138221,13439242,13744368,14053716,14366668,14682873,15001771,
Gibraltar,GIB,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Population, female",SP.POP.TOTL.FE.IN,1765469,1795796,1826836,1858643,1891320,1924896,1959465,1995003,2031330,2068210,2105507,2143297,2181764,2221047,2261316,2302794,2345581,2389961,2436602,2486292,2539677,2596938,2658091,2723477,2793444,2868160,2947822,3032161,3120294,3210992,3303337,3396704,3491125,3587021,3685191,3786001,3889999,3996489,4103281,4207398,4306933,4400833,4490272,4578294,4669218,4766166,4870611,4981778,5097788,5215734,5333707,5450935,5568783,5690056,5818612,5957124,6106631,6266022,6433237,6605171,
Gambia,GMB,"Population, female",SP.POP.TOTL.FE.IN,183380,186571,189804,193224,197012,201297,206134,211518,217358,223570,230079,236870,243982,251440,259279,267523,276266,285540,295203,305087,315119,325074,335137,346074,358931,374381,392812,413798,436158,458209,478774,497436,514573,530817,547111,564182,582162,600859,620311,640515,661438,683179,705780,729073,752807,776826,801067,825628,850681,876501,903277,931063,959812,989464,1019945,1051160,1083109,1115801,1149220,1183337,
Guinea-Bissau,GNB,"Population, female",SP.POP.TOTL.FE.IN,312605,316083,319303,322533,326095,330268,335075,340439,346273,352448,358830,365551,372556,379377,385396,390223,393601,395816,397746,400596,405228,411963,420531,430417,440877,451329,461640,471963,482368,493015,504009,515385,527051,538855,550603,562166,573469,584633,595936,607783,620457,634098,648620,663909,679741,695970,712540,729536,747084,765379,784553,804632,825547,847111,869097,891310,913704,936281,959062,982057,
Equatorial Guinea,GNQ,"Population, female",SP.POP.TOTL.FE.IN,130044,131738,133376,135165,137341,140013,143420,147337,150925,153029,152886,150250,145571,139677,133790,128841,124941,122050,120820,121994,126007,133273,143442,155288,167050,177454,186072,193237,199350,205153,211168,217478,223905,230604,237683,245253,253412,262193,271556,281429,291757,302533,313816,325700,338312,351734,365983,381027,396805,413236,430239,447791,465874,484414,503347,522586,542110,561891,581916,602161,
Greece,GRC,"Population, female",SP.POP.TOTL.FE.IN,4247746,4280100,4305614,4322305,4338495,4358443,4389220,4422728,4448639,4461902,4469364,4486473,4513656,4532157,4546570,4586670,4655166,4712470,4770179,4826405,4870815,4911841,4939700,4966445,4989739,5008264,5024704,5042023,5061029,5087756,5141255,5201761,5239302,5267456,5291226,5313797,5335592,5360803,5390110,5411214,5434805,5465525,5488927,5506400,5525544,5548456,5573215,5596681,5621068,5644328,5657982,5653410,5624374,5583564,5545785,5508921,5486068,5475485,5464776,5456598,
Grenada,GRD,"Population, female",SP.POP.TOTL.FE.IN,48218,48871,49377,49765,50033,50210,50293,50266,50158,49994,49791,49584,49384,49136,48800,48346,47722,46970,46275,45911,46037,46763,47984,49402,50587,51253,51271,50767,49965,49230,48822,48798,49078,49556,50075,50514,50850,51129,51343,51535,51692,51834,51947,52038,52107,52166,52204,52239,52288,52383,52563,52826,53161,53547,53940,54312,54664,54983,55289,55576,
Greenland,GRL,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Population, female",SP.POP.TOTL.FE.IN,2038411,2098976,2161417,2225464,2290799,2357073,2424195,2491807,2559541,2627118,2694451,2761628,2828950,2896840,2965700,3035555,3106929,3180719,3258153,3340464,3428386,3521861,3620755,3724056,3831357,3942535,4057510,4176229,4298621,4424461,4553122,4683627,4814874,4946163,5077927,5211068,5344856,5479342,5616759,5756928,5902947,6049228,6191267,6328081,6463571,6598227,6731790,6864151,6995448,7125868,7255549,7386480,7516771,7647888,7779044,7909392,8039125,8168449,8297605,8425530,
Guam,GUM,"Population, female",SP.POP.TOTL.FE.IN,27694,28587,29451,30303,31175,32076,33016,34002,35016,36061,37136,38232,39354,40510,41717,42994,44347,45760,47188,48558,49838,50996,52067,53073,54060,55066,56086,57115,58214,59454,60874,62495,64281,66146,67991,69706,71273,72699,73958,75033,75899,76553,77001,77289,77488,77656,77810,77952,78095,78251,78418,78598,78818,79083,79455,79935,80539,81252,82046,82858,
Guyana,GUY,"Population, female",SP.POP.TOTL.FE.IN,285362,293675,301725,309444,316768,323625,330003,335893,341327,346386,351103,355455,359434,363182,366895,370681,374649,378706,382487,385511,387441,388207,387957,386914,385410,383708,381782,379645,377743,376603,376576,377933,380475,383423,385690,386511,385611,383293,380145,377049,374622,373068,372163,371852,371948,372287,372892,373821,374967,376211,377480,378714,379936,381146,382400,383716,385102,386541,388007,389500,
High income,HIC,"Population, female",SP.POP.TOTL.FE.IN,398021795,403739428,408749793,413725701,418667376,423443841,427980286,432280770,436171584,440976995,445277155,449929702,454419410,458439904,463029703,467412646,471141720,474996774,478886830,482926343,486834003,490733320,494392915,497798348,501016101,504257640,507654205,511046873,514511308,518195364,522074008,526164991,529290857,533234325,536996716,541294280,544865107,548351038,551751013,555099803,558356493,561598941,564870165,568166531,571624982,575126560,578915925,582790547,586924408,590666462,594060181,596451886,599624145,602882990,606227279,609432477,612562125,615244465,617670776,620062203,
"Hong Kong SAR, China",HKG,"Population, female",SP.POP.TOTL.FE.IN,1490570,1534221,1599134,1653840,1693906,1739943,1757595,1805725,1848532,1883113,1934867,1983582,2029301,2093351,2162180,2198930,2214974,2230079,2252341,2363322,2418548,2475124,2519470,2568162,2605045,2643840,2686394,2722360,2753468,2789857,2806324,2836816,2867478,2924101,2998587,3067829,3218071,3257081,3297367,3342651,3386423,3426269,3456918,3465906,3509015,3540102,3578263,3624088,3660041,3681158,3720452,3756506,3808024,3832276,3867733,3909083,3941508,3978989,4018506,4056162,
Honduras,HND,"Population, female",SP.POP.TOTL.FE.IN,1015972,1045364,1075522,1106632,1138951,1172650,1207836,1244496,1282548,1321865,1362354,1404012,1446924,1491257,1537234,1585040,1634715,1686228,1739485,1794346,1850719,1908572,1967943,2028781,2091039,2154675,2219711,2286165,2354045,2423338,2494079,2566136,2639565,2714775,2792329,2872567,2955598,3041099,3128414,3216624,3305009,3393288,3481410,3569277,3656850,3744052,3830841,3917031,4002312,4086316,4168825,4249671,4328999,4407285,4485200,4563224,4641498,4719921,4798491,4877122,
Heavily indebted poor countries (HIPC),HPC,"Population, female",SP.POP.TOTL.FE.IN,81594347,83517735,85518389,87599819,89765984,92019848,94362899,96795259,99316284,101924645,104619097,107399956,110267054,113218254,116250904,119362875,122559903,125843758,129204391,132628221,136109446,139646625,143255473,146968666,150829918,154873337,159103242,163519386,168144725,173004803,178112880,183492067,189126889,194944505,200844621,206758798,212656664,218569267,224565496,230746251,237184854,243907837,250894971,258117308,265526842,273091018,280803361,288684284,296759722,305066457,313631250,322458757,331541127,340876046,350457684,360278759,370341463,380639814,391147719,401831127,
Croatia,HRV,"Population, female",SP.POP.TOTL.FE.IN,2151975,2164165,2177199,2189834,2201685,2214316,2228259,2241626,2254710,2267302,2277223,2286166,2295221,2304495,2314426,2325110,2337331,2349684,2361139,2368677,2371790,2378452,2390848,2403818,2415465,2426216,2435886,2444259,2451027,2456288,2461069,2415724,2358048,2371861,2399955,2385254,2354873,2345823,2346822,2338795,2317290,2230499,2231847,2232061,2232132,2234538,2234730,2233971,2233583,2231322,2226588,2219546,2213678,2208465,2200161,2182274,2166691,2139934,2119654,2107742,
Haiti,HTI,"Population, female",SP.POP.TOTL.FE.IN,1968719,2006688,2045563,2085258,2125688,2166767,2208610,2251186,2294087,2336768,2378937,2420449,2461670,2503524,2547232,2593747,2643224,2695562,2751037,2809879,2872150,2938062,3007326,3078855,3151174,3223199,3294495,3365200,3435513,3505874,3576597,3647643,3718837,3790204,3861780,3933591,4005669,4078017,4150591,4223350,4296269,4369307,4442476,4515913,4589791,4664201,4739174,4814606,4890340,4966143,5041825,5117317,5192582,5267507,5342002,5415971,5489352,5562082,5634134,5705482,
Hungary,HUN,"Population, female",SP.POP.TOTL.FE.IN,5169920,5192672,5206721,5216238,5228434,5239218,5252032,5269058,5287270,5307915,5327153,5342136,5358473,5376529,5401262,5433455,5463222,5488092,5506621,5516996,5522322,5525974,5527321,5524466,5518961,5514025,5509049,5503722,5498977,5443301,5391730,5396397,5399663,5399057,5397098,5394672,5390086,5383549,5375003,5363497,5353038,5343996,5331733,5319049,5309383,5300395,5293164,5285470,5276249,5267700,5255083,5239155,5210802,5194900,5179290,5165373,5148625,5133501,5125566,5121126,
IBRD only,IBD,"Population, female",SP.POP.TOTL.FE.IN,952166429,962426790,978973388,1001297009,1023672902,1046636567,1071119273,1095436814,1120414502,1146440317,1173163028,1200530830,1227452910,1254233666,1280591351,1306070472,1330997179,1355387193,1380030084,1405192425,1430658452,1456949039,1484705639,1512781900,1540585298,1568723668,1597528494,1627010795,1656534192,1685567771,1713837185,1741555875,1768321725,1794590681,1820494996,1845857512,1870934232,1895858215,1920388950,1944203103,1967146407,1989498998,2011429025,2033174379,2054742260,2076236187,2097512948,2118534998,2139664537,2161115740,2182463198,2204202969,2226231652,2248483780,2270677230,2292651783,2314541604,2336203272,2356761881,2376316843,
IDA & IBRD total,IBT,"Population, female",SP.POP.TOTL.FE.IN,1140021023,1154880967,1176207529,1203505744,1231062209,1259415546,1289515805,1319667755,1350652005,1382791529,1415692557,1449288843,1482520392,1515754524,1548803066,1581274629,1613521009,1645545274,1678117013,1711469140,1745360870,1780309221,1816971687,1854220555,1891486287,1929391715,1968275174,2008135462,2048315012,2088267259,2127742586,2166810346,2205165178,2243205171,2281045559,2318539758,2355958857,2393410371,2430624620,2467242960,2503209634,2538747555,2574047351,2609385313,2644824546,2680498430,2716296023,2752186591,2788486102,2825334249,2862404539,2900002890,2937905931,2976292309,3014960204,3053802064,3092947815,3132229256,3170805388,3208833964,
IDA total,IDA,"Population, female",SP.POP.TOTL.FE.IN,187854594,192454177,197234141,202208735,207389307,212778979,218396532,224230941,230237503,236351212,242529529,248758013,255067482,261520858,268211715,275204157,282523830,290158081,298086929,306276715,314702418,323360182,332266048,341438655,350900989,360668047,370746680,381124667,391780820,402699488,413905401,425254471,436843453,448614490,460550563,472682246,485024625,497552156,510235670,523039857,536063227,549248557,562618326,576210934,590082286,604262243,618783075,633651593,648821565,664218509,679941341,695799921,711674279,727808529,744282974,761150281,778406211,796025984,814043507,832517121,
IDA blend,IDB,"Population, female",SP.POP.TOTL.FE.IN,58764229,60201925,61707514,63279017,64913456,66608987,68368554,70194823,72085696,74038117,76052070,78124988,80264127,82491194,84834826,87315296,89940348,92703738,95594086,98593152,101686532,104868993,108140773,111498975,114941669,118465544,122070062,125748774,129485632,133260523,137116090,140907377,144743674,148616056,152527525,156514757,160619415,164818669,169060492,173280027,177557908,181834261,186133281,190483569,194934797,199521104,204259263,209161393,214216405,219394912,224835090,230359753,235808464,241365723,247033015,252796502,258643412,264562643,270568029,276676030,
Indonesia,IDN,"Population, female",SP.POP.TOTL.FE.IN,44149135,45314590,46515375,47754030,49034846,50360381,51730380,53141682,54590306,56070978,57579307,59113483,60672484,62253776,63854780,65473386,67104493,68746529,70404878,72087688,73798696,75542707,77311820,79081880,80820506,82505544,84123860,85684164,87212790,88748238,90317035,91929578,93573572,95225394,96850506,98424428,99940758,101409093,102840634,104252991,105659995,107066151,108470614,109875995,111283970,112697082,114113394,115537045,116983225,118471491,120013716,121616827,123271003,124950432,126619172,128250415,129834450,131375660,132878520,134355806,
IDA only,IDX,"Population, female",SP.POP.TOTL.FE.IN,129090365,132252252,135526627,138929718,142475851,146169992,150027978,154036118,158151807,162313095,166477459,170633025,174803355,179029664,183376889,187888861,192583482,197454343,202492843,207683563,213015886,218491189,224125275,229939680,235959320,242202503,248676618,255375893,262295188,269438965,276789311,284347094,292099779,299998434,308023038,316167489,324405210,332733487,341175178,349759830,358505319,367414296,376485045,385727365,395147489,404741139,414523812,424490200,434605160,444823597,455106251,465440168,475865815,486442806,497249959,508353779,519762799,531463341,543475478,555841091,
Isle of Man,IMN,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Population, female",SP.POP.TOTL.FE.IN,218042938,222328744,226780736,231387197,236130819,241002417,245993499,251117415,256412983,261932711,267712745,273769665,280088829,286636580,293362998,300231624,307224285,314349666,321629370,329097304,336773405,344660920,352736218,360959428,369276873,377646918,386054077,394498853,402975459,411482899,420020420,428576056,437144411,445740100,454384942,463091989,471862699,480682703,489529545,498372775,507187684,515957245,524676538,533346646,541973977,550557712,559099816,567579951,575948780,584142640,592116985,599851725,607361114,614678382,621854638,628929065,635908885,642787641,649574719,656288183,
Not classified,INX,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Population, female",SP.POP.TOTL.FE.IN,1406677,1405562,1411889,1420376,1427392,1432848,1438732,1445708,1452396,1461001,1473222,1490423,1512548,1536770,1562193,1587876,1611795,1633588,1656878,1679319,1699333,1720308,1737955,1751880,1764483,1769073,1771680,1773695,1767916,1762576,1765516,1776910,1790022,1799685,1807272,1816850,1831441,1849931,1869087,1889591,1913728,1942601,1973324,2003466,2038846,2083266,2140952,2205554,2253499,2279251,2294319,2306846,2319082,2333444,2352024,2374896,2401335,2426140,2454369,2489780,
Iran,IRN,"Population, female",SP.POP.TOTL.FE.IN,10664386,10939058,11222620,11515452,11818048,12130882,12455347,12791983,13139563,13496226,13861421,14237033,14626440,15032737,15459692,15911620,16385842,16886079,17430327,18041966,18735758,19514426,20366746,21275281,22215291,23164863,24121816,25079429,26005907,26862248,27621611,28269195,28813682,29281641,29713138,30138468,30566360,30991518,31413800,31829264,32235849,32635113,33032450,33433614,33845530,34272737,34720283,35186535,35661227,36129677,36582329,37012836,37426994,37841897,38281558,38762068,39289469,39854933,40441341,41024009,
